label,message,length,processed_message,token_count
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,158,"['hope', 'result', 'consistently', 'intelligent', 'kind', 'start', 'asking', 'practicum', 'link', 'keep', 'ear', 'open', 'best', 'ttyl']",14
ham,No need for the drug anymore.,29,"['need', 'drug', 'anymore']",3
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']",18
ham,Shall i come to get pickle,26,"['shall', 'come', 'get', 'pickle']",4
ham,Hi. I'm always online on yahoo and would like to chat with you someday,70,"['hi', 'always', 'online', 'yahoo', 'would', 'like', 'chat', 'someday']",8
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,208,"['buy', 'blackberry', 'bold', 'torch', 'buy', 'new', 'used', 'let', 'know', 'plus', 'saying', 'buy', 'lt', 'gt', 'g', 'wifi', 'ipad', 'saying', 'lt', 'gt', 'g']",21
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,85,"['got', 'c', 'lazy', 'type', 'forgot', 'ü', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']",12
ham,Kinda. First one gets in at twelve! Aah. Speak tomo,51,"['kinda', 'first', 'one', 'get', 'twelve', 'aah', 'speak', 'tomo']",8
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,152,"['free', 'camera', 'phone', 'linerental', 'cross', 'ntwk', 'min', 'price', 'txt', 'bundle', 'deal', 'also', 'avble', 'call', 'mf']",15
ham,Yup song bro. No creative. Neva test quality. He said check review online.,74,"['yup', 'song', 'bro', 'creative', 'neva', 'test', 'quality', 'said', 'check', 'review', 'online']",11
ham,You are gorgeous! keep those pix cumming :) thank you!,54,"['gorgeous', 'keep', 'pix', 'cumming', 'thank']",5
ham,Hope you are having a good week. Just checking in,49,"['hope', 'good', 'week', 'checking']",4
ham,Dear how is chechi. Did you talk to her,39,"['dear', 'chechi', 'talk']",3
ham,Now get step 2 outta the way. Congrats again.,45,"['get', 'step', 'outta', 'way', 'congrats']",5
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,92,"['thinking', 'chuckin', 'ur', 'red', 'green', 'n', 'black', 'trainners', 'save', 'carryin', 'bac', 'train']",12
ham,Den wat will e schedule b lk on sun?,36,"['den', 'wat', 'e', 'schedule', 'b', 'lk', 'sun']",7
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,95,"['nice', 'new', 'shirt', 'thing', 'wear', 'nudist', 'themed', 'mu']",8
ham,There's no point hangin on to mr not right if he's not makin u happy,68,"['point', 'hangin', 'mr', 'right', 'makin', 'u', 'happy']",7
ham,Hey now am free you can call me.,32,"['hey', 'free', 'call']",3
ham,What * u wearing?,17,"['u', 'wearing']",2
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,88,"['aslamalaikkum', 'insha', 'allah', 'tohar', 'beeen', 'muht', 'albi', 'mufti', 'mahfuuz', 'meaning']",10
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,134,"['someone', 'u', 'know', 'asked', 'dating', 'service', 'contact', 'cant', 'guess', 'call', 'revealed', 'po']",12
ham,U having lunch alone? I now so bored...,39,"['u', 'lunch', 'alone', 'bored']",4
ham,U in town alone?,16,"['u', 'town', 'alone']",3
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),112,"['call', 'send', 'girl', 'erotic', 'ecstacy', 'stop', 'text', 'call', 'nat', 'rate']",10
ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,146,"['love', 'come', 'took', 'long', 'leave', 'zaher', 'got', 'word', 'ym', 'happy', 'see', 'sad', 'left', 'miss']",14
ham,"Yeah, we got one lined up for us",32,"['yeah', 'got', 'one', 'lined', 'u']",5
ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,154,"['really', 'skateboarding', 'despite', 'fact', 'get', 'thrown', 'wind', 'bandage', 'shit', 'arm', 'every', 'five', 'minute']",13
ham,Ok can...,9,['ok'],1
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,80,"['mind', 'ask', 'happened', 'dont', 'say', 'uncomfortable']",6
ham,And maybe some pressies,23,"['maybe', 'pressies']",2
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",158,"['honeybee', 'said', 'sweetest', 'world', 'god', 'laughed', 'amp', 'said', 'wait', 'u', 'havnt', 'met', 'person', 'reading', 'msg', 'moral', 'even', 'god', 'crack', 'joke']",20
ham,Got meh... When?,16,"['got', 'meh']",2
ham,Otherwise had part time job na-tuition..,40,"['otherwise', 'part', 'time', 'job']",4
ham,S:)but he had some luck.2 catches put down:),44,"['catch', 'put']",2
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,157,"['brand', 'new', 'mobile', 'music', 'service', 'live', 'free', 'music', 'player', 'arrive', 'shortly', 'install', 'phone', 'browse', 'content', 'top', 'artist']",17
ham,"Sorry that took so long, omw now",32,"['sorry', 'took', 'long', 'omw']",4
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,92,"['lol', 'grr', 'mom', 'taking', 'forever', 'prescription', 'pharmacy', 'like', 'minute', 'away', 'ugh']",11
ham,Why de. You looking good only:-)..,34,"['de', 'looking', 'good']",3
ham,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,84,"['thk', 'shd', 'ok', 'said', 'plus', 'minus', 'ü', 'leave', 'line', 'paragraph']",10
ham,"Uncle G, just checking up on you. Do have a rewarding month",59,"['uncle', 'g', 'checking', 'rewarding', 'month']",5
ham,Nice.nice.how is it working?,28,['working'],1
ham,"Good stuff, will do.",20,"['good', 'stuff']",2
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,153,"['sport', 'fan', 'get', 'latest', 'sport', 'news', 'str', 'ur', 'mobile', 'wk', 'free', 'plus', 'free', 'tone', 'txt', 'sport', 'norm']",17
ham,Thinkin about someone is all good. No drugs for that,52,"['thinkin', 'someone', 'good', 'drug']",4
ham,Today am going to college so am not able to atten the class.,60,"['today', 'going', 'college', 'able', 'atten', 'class']",6
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.,79,"['badrith', 'chennai', 'surely', 'pick', 'u', 'competition']",6
ham,"Haha yeah, 2 oz is kind of a shitload",37,"['haha', 'yeah', 'oz', 'kind', 'shitload']",5
ham,"It‘s reassuring, in this crazy world.",37,"['reassuring', 'crazy', 'world']",3
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,80,"['maybe', 'say', 'hi', 'find', 'got', 'card', 'great', 'escape', 'wetherspoons']",9
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",93,"['gon', 'na', 'blake', 'night', 'might', 'able', 'get', 'little', 'early']",9
ham,S:-)if we have one good partnership going we will take lead:),61,"['one', 'good', 'partnership', 'going', 'take', 'lead']",6
ham,Oh just getting even with u.... u?,34,"['oh', 'getting', 'even', 'u', 'u']",5
ham,Didn't you get hep b immunisation in nigeria.,45,"['get', 'hep', 'b', 'immunisation', 'nigeria']",5
ham,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,136,"['watching', 'house', 'entertaining', 'getting', 'whole', 'hugh', 'laurie', 'thing', 'even', 'stick', 'indeed', 'especially', 'stick']",13
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",281,"['imagine', 'finally', 'get', 'sink', 'bath', 'put', 'pace', 'maybe', 'even', 'eat', 'left', 'also', 'imagine', 'feel', 'cage', 'cock', 'surrounded', 'bath', 'water', 'reminding', 'always', 'owns', 'enjoy', 'cuck']",24
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,139,"['ur', 'currently', 'pound', 'maximize', 'ur', 'send', 'cash', 'cc', 'po', 'box']",10
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),125,"['nice', 'line', 'said', 'broken', 'plz', 'cum', 'time', 'infront', 'wise', 'trust', 'u', 'good']",12
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,230,"['sorry', 'never', 'hear', 'unless', 'book', 'one', 'kinda', 'joke', 'thet', 'really', 'looking', 'skinny', 'white', 'girl', 'one', 'line', 'much', 'camera', 'something', 'like', 'casting', 'look']",22
ham,"Sorry, I'll call later",22,"['sorry', 'call', 'later']",3
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",242,"['dear', 'know', 'lt', 'gt', 'th', 'lt', 'gt', 'th', 'birthday', 'loving', 'gopalettan', 'planning', 'give', 'small', 'gift', 'day', 'like', 'participate', 'welcome', 'please', 'contact', 'admin', 'team', 'detail']",24
ham,Wewa is 130. Iriver 255. All 128 mb.,36,"['wewa', 'iriver', 'mb']",3
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,45,"['lt', 'gt', 'ish', 'minute', 'minute', 'ago', 'wtf']",7
ham,What should i eat fo lunch senor,32,"['eat', 'fo', 'lunch', 'senor']",4
ham,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,79,"['dunno', 'lei', 'ü', 'decide', 'lor', 'abt', 'leona', 'oops', 'tot', 'ben', 'going', 'n', 'msg']",13
ham,Prakesh is there know.,22,"['prakesh', 'know']",2
ham,How much it will cost approx . Per month.,41,"['much', 'cost', 'approx', 'per', 'month']",5
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",146,"['free', 'message', 'activate', 'free', 'text', 'message', 'replying', 'message', 'word', 'free', 'term', 'condition', 'visit']",13
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,121,"['hi', 'yijue', 'regarding', 'textbook', 'intro', 'algorithm', 'second', 'edition', 'selling']",9
ham,No problem baby. Is this is a good time to talk? I called and left a message.,77,"['problem', 'baby', 'good', 'time', 'talk', 'called', 'left', 'message']",8
ham,So what do you guys do.,23,['guy'],1
ham,What time you think you'll have it? Need to know when I should be near campus,77,"['time', 'think', 'need', 'know', 'near', 'campus']",6
ham,Ok that's great thanx a lot.,28,"['ok', 'great', 'thanx', 'lot']",4
ham,Where can download clear movies. Dvd copies.,44,"['download', 'clear', 'movie', 'dvd', 'copy']",5
ham,Thanks for understanding. I've been trying to tell sura that.,61,"['thanks', 'understanding', 'trying', 'tell', 'sura']",5
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'c', 'lccltd', 'pobox']",12
ham,"Maybe westshore or hyde park village, the place near my house?",62,"['maybe', 'westshore', 'hyde', 'park', 'village', 'place', 'near', 'house']",8
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,153,"['dear', 'voucher', 'holder', 'next', 'meal', 'u', 'use', 'following', 'link', 'pc', 'enjoy', 'dining', 'experiencehttp']",13
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,80,"['handle', 'victoria', 'island', 'traffic', 'plus', 'album', 'due']",7
ham,Even if he my friend he is a priest call him now,48,"['even', 'friend', 'priest', 'call']",4
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,"['customer', 'service', 'annoncement', 'new', 'year', 'delivery', 'waiting', 'please', 'call', 'arrange', 'delivery']",11
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,95,"['thanx', 'u', 'r', 'goodmate', 'think', 'ur', 'rite', 'sary', 'asusual', 'u', 'cheered', 'love', 'u', 'franyxxxxx']",14
ham,K.k:)advance happy pongal.,26,"['advance', 'happy', 'pongal']",3
ham,Huh so fast... Dat means u havent finished painting?,52,"['huh', 'fast', 'dat', 'mean', 'u', 'havent', 'finished', 'painting']",8
ham,Then i buy.,11,['buy'],1
ham,The battery is for mr adewale my uncle. Aka Egbon,49,"['battery', 'mr', 'adewale', 'uncle', 'aka', 'egbon']",6
ham,Watching telugu movie..wat abt u?,33,"['watching', 'telugu', 'movie', 'wat', 'abt', 'u']",6
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",133,"['said', 'kiss', 'kiss', 'ca', 'sound', 'effect', 'gorgeous', 'man', 'kind', 'person', 'need', 'smile', 'brighten', 'day']",14
ham,Yes when is the appt again?,27,"['yes', 'appt']",2
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,160,"['yar', 'wanted', 'scold', 'u', 'yest', 'late', 'already', 'got', 'zhong', 'se', 'qing', 'u', 'ask', 'ask', 'go', 'w', 'u', 'lor', 'n', 'u', 'still', 'act', 'real']",23
ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,84,"['ok', 'wont', 'call', 'disturb', 'one', 'know', 'avoiding', 'burden']",8
ham,Watching ajith film ah?,23,"['watching', 'ajith', 'film', 'ah']",4
spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",158,"['today', 'offer', 'claim', 'ur', 'worth', 'discount', 'voucher', 'text', 'yes', 'savamob', 'member', 'offer', 'mobile', 'c', 'sub', 'unsub', 'reply', 'x']",18
ham,Watching tv now. I got new job :),33,"['watching', 'tv', 'got', 'new', 'job']",5
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,160,"['heard', 'call', 'rude', 'chat', 'private', 'line', 'cum', 'wan', 'pic', 'gettin', 'shagged', 'text', 'pix', 'send', 'stop', 'sam', 'xxx']",17
ham,That one week leave i put know that time. Why.,46,"['one', 'week', 'leave', 'put', 'know', 'time']",6
ham,I borrow ur bag ok.,19,"['borrow', 'ur', 'bag', 'ok']",4
ham,"If e timing can, then i go w u lor...",37,"['e', 'timing', 'go', 'w', 'u', 'lor']",6
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",588,"['sad', 'story', 'man', 'last', 'week', 'wife', 'wish', 'parent', 'forgot', 'n', 'kid', 'went', 'work', 'even', 'colleague', 'wish', 'entered', 'cabin', 'pa', 'said', 'happy', 'bos', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went', 'said', 'u', 'mind', 'go', 'bedroom', 'minute', 'ok', 'sed', 'sexy', 'mood', 'came', 'minuts', 'latr', 'wid', 'cake', 'n', 'wife', 'parent', 'kidz', 'friend', 'n', 'colleague', 'screaming', 'surprise', 'waiting', 'sofa', 'naked']",57
ham,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.,84,"['meeting', 'ü', 'rite', 'go', 'home', 'lor', 'ü', 'dun', 'feel', 'like', 'comin', 'ok']",12
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,"['love', 'excited', 'day', 'spend', 'make', 'happy']",6
ham,Shb b ok lor... Thanx...,24,"['shb', 'b', 'ok', 'lor', 'thanx']",5
ham,Do you want bold 2 or bb torch,30,"['want', 'bold', 'bb', 'torch']",4
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,"['private', 'account', 'statement', 'show', 'unredeemed', 'bonus', 'point', 'claim', 'call', 'identifier', 'code', 'expires']",12
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,116,"['also', 'sorta', 'blown', 'couple', 'time', 'recently', 'id', 'rather', 'text', 'blue', 'looking', 'weed']",12
ham,Anything...,11,['anything'],1
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,146,"['hello', 'boytoy', 'geeee', 'missing', 'today', 'like', 'send', 'tm', 'remind', 'thinking', 'loved', 'loving', 'kiss']",13
ham,Oh Howda gud gud.. Mathe en samachara chikku:-),47,"['oh', 'howda', 'gud', 'gud', 'mathe', 'en', 'samachara', 'chikku']",8
ham,R u meeting da ge at nite tmr?,30,"['r', 'u', 'meeting', 'da', 'ge', 'nite', 'tmr']",7
ham,Dear got bus directly to calicut,32,"['dear', 'got', 'bus', 'directly', 'calicut']",5
ham,Ok. C u then.,13,"['c', 'u']",2
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),113,"['training', 'manual', 'show', 'tech', 'process', 'password', 'reset', 'troubleshooting']",8
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,90,"['dear', 'u', 'invited', 'xchat', 'final', 'attempt', 'contact', 'u', 'txt', 'chat']",10
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,147,"['polyphonic', 'tone', 'ur', 'mob', 'every', 'week', 'txt', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friend', 'reply', 'hl']",16
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,152,"['guess', 'first', 'time', 'created', 'web', 'page', 'read', 'wrote', 'waiting', 'opinion', 'want', 'friend']",12
ham,Gud mrng dear hav a nice day,28,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']",6
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",147,"['love', 'brother', 'time', 'talk', 'english', 'grin', 'say', 'hey', 'muhommad', 'penny', 'say', 'hello', 'across', 'sea']",14
ham,"Oh... Icic... K lor, den meet other day...",42,"['oh', 'icic', 'k', 'lor', 'den', 'meet', 'day']",7
ham,Smith waste da.i wanna gayle.,29,"['smith', 'waste', 'wan', 'na', 'gayle']",5
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade",135,"['case', 'wake', 'wondering', 'forgot', 'take', 'care', 'something', 'grandma', 'today', 'done', 'parade']",11
ham,"No my blankets are sufficient, thx",34,"['blanket', 'sufficient', 'thx']",3
ham,Oh k k:)but he is not a big hitter.anyway good,46,"['oh', 'k', 'k', 'big', 'good']",5
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,64,"['kindly', 'send', 'one', 'flat', 'lt', 'decimal', 'gt', 'today']",8
ham,Dont gimme that lip caveboy,27,"['dont', 'gim', 'lip', 'caveboy']",4
