label,message,processed_message,token_count
1,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,"['free', 'week', 'nokia', 'tone', 'ur', 'mobile', 'every', 'week', 'txt', 'nokia', 'get', 'txting', 'tell', 'ur', 'mate', 'pobox']",16
0,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,"['hey', 'next', 'sun', 'basic', 'yoga', 'course', 'bugis', 'go', 'pilate', 'intro', 'next', 'sat', 'tell', 'time', 'r', 'free']",16
1,You have 1 new message. Please call 08718738034.,"['new', 'message', 'please', 'call']",4
0,I told that am coming on wednesday.,"['told', 'coming', 'wednesday']",3
0,Eatin my lunch...,"['eatin', 'lunch']",2
0,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,"['da', 'birthdate', 'certificate', 'april', 'real', 'date', 'today', 'dont', 'publish', 'shall', 'give', 'special', 'treat', 'keep', 'secret', 'way', 'thanks', 'wish']",18
1,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,"['send', 'logo', 'ur', 'lover', 'name', 'joined', 'heart', 'txt', 'love', 'mobno', 'eg', 'love', 'adam', 'eve', 'yahoo', 'txtno', 'ad']",17
1,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply","['get', 'lion', 'england', 'tone', 'reply', 'lionm', 'mono', 'lionp', 'poly', 'go', 'original', 'n', 'best', 'tone', 'network', 'operator', 'rate', 'apply']",18
0,I tot u reach liao. He said t-shirt.,"['tot', 'u', 'reach', 'liao', 'said']",5
0,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!","['u', 'u', 'u', 'b', 'moving', 'flat', 'co', 'need', 'arrange', 'pick', 'lamp', 'etc', 'take', 'care', 'hello', 'caroline']",16
0,Which is weird because I know I had it at one point,"['weird', 'know', 'one', 'point']",4
1,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""","['chance', 'win', 'free', 'bluetooth', 'headset', 'simply', 'reply', 'back', 'adp']",9
0,Dai what this da.. Can i send my resume to this id.,"['dai', 'da', 'send', 'resume', 'id']",5
1,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,"['donate', 'unicef', 'asian', 'tsunami', 'disaster', 'support', 'fund', 'texting', 'donate', 'added', 'next', 'bill']",12
0,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,"['ummmmmaah', 'many', 'many', 'happy', 'return', 'day', 'dear', 'sweet', 'heart', 'happy', 'birthday', 'dear']",12
0,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.","['money', 'issue', 'weigh', 'thanks', 'breathe', 'easier', 'make', 'sure', 'dont', 'regret', 'thanks']",11
0,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,"['watching', 'surya', 'movie', 'pm', 'vijay', 'movie', 'pokkiri']",7
0,Is toshiba portege m100 gd?,"['toshiba', 'portege', 'gd']",3
0,Ok lor wat time ü finish?,"['ok', 'lor', 'wat', 'time', 'ü', 'finish']",6
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'location', 'sent', 'direct', 'ur', 'mob', 'join', 'uk', 'largest', 'dogging', 'network', 'txting', 'moan']",19
1,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,"['dating', 'two', 'started', 'sent', 'text', 'talk', 'sport', 'radio', 'last', 'week', 'connection', 'think', 'coincidence']",13
0,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ","['whats', 'coming', 'hill', 'monster', 'hope', 'great', 'day', 'thing', 'r', 'going', 'fine', 'busy', 'though']",13
0,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)","['sometimes', 'put', 'wall', 'around', 'heart', 'safe', 'getting', 'hurt', 'find', 'care', 'enough', 'break', 'wall', 'amp', 'get', 'closer', 'goodnoon']",17
0,"Nothing much, chillin at home. Any super bowl plan?","['nothing', 'much', 'chillin', 'home', 'super', 'bowl', 'plan']",7
0,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,"['hope', 'result', 'consistently', 'intelligent', 'kind', 'start', 'asking', 'practicum', 'link', 'keep', 'ear', 'open', 'best', 'ttyl']",14
0,No need for the drug anymore.,"['need', 'drug', 'anymore']",3
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']",18
0,Shall i come to get pickle,"['shall', 'come', 'get', 'pickle']",4
0,Hi. I'm always online on yahoo and would like to chat with you someday,"['hi', 'always', 'online', 'yahoo', 'would', 'like', 'chat', 'someday']",8
0,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,"['buy', 'blackberry', 'bold', 'torch', 'buy', 'new', 'used', 'let', 'know', 'plus', 'saying', 'buy', 'lt', 'gt', 'g', 'wifi', 'ipad', 'saying', 'lt', 'gt', 'g']",21
0,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,"['got', 'c', 'lazy', 'type', 'forgot', 'ü', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']",12
0,Kinda. First one gets in at twelve! Aah. Speak tomo,"['kinda', 'first', 'one', 'get', 'twelve', 'aah', 'speak', 'tomo']",8
1,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,"['free', 'camera', 'phone', 'linerental', 'cross', 'ntwk', 'min', 'price', 'txt', 'bundle', 'deal', 'also', 'avble', 'call', 'mf']",15
0,Yup song bro. No creative. Neva test quality. He said check review online.,"['yup', 'song', 'bro', 'creative', 'neva', 'test', 'quality', 'said', 'check', 'review', 'online']",11
0,You are gorgeous! keep those pix cumming :) thank you!,"['gorgeous', 'keep', 'pix', 'cumming', 'thank']",5
0,Hope you are having a good week. Just checking in,"['hope', 'good', 'week', 'checking']",4
0,Dear how is chechi. Did you talk to her,"['dear', 'chechi', 'talk']",3
0,Now get step 2 outta the way. Congrats again.,"['get', 'step', 'outta', 'way', 'congrats']",5
0,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,"['thinking', 'chuckin', 'ur', 'red', 'green', 'n', 'black', 'trainners', 'save', 'carryin', 'bac', 'train']",12
0,Den wat will e schedule b lk on sun?,"['den', 'wat', 'e', 'schedule', 'b', 'lk', 'sun']",7
0,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,"['nice', 'new', 'shirt', 'thing', 'wear', 'nudist', 'themed', 'mu']",8
0,There's no point hangin on to mr not right if he's not makin u happy,"['point', 'hangin', 'mr', 'right', 'makin', 'u', 'happy']",7
0,Hey now am free you can call me.,"['hey', 'free', 'call']",3
0,What * u wearing?,"['u', 'wearing']",2
0,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,"['aslamalaikkum', 'insha', 'allah', 'tohar', 'beeen', 'muht', 'albi', 'mufti', 'mahfuuz', 'meaning']",10
1,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,"['someone', 'u', 'know', 'asked', 'dating', 'service', 'contact', 'cant', 'guess', 'call', 'revealed', 'po']",12
0,U having lunch alone? I now so bored...,"['u', 'lunch', 'alone', 'bored']",4
0,U in town alone?,"['u', 'town', 'alone']",3
1,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),"['call', 'send', 'girl', 'erotic', 'ecstacy', 'stop', 'text', 'call', 'nat', 'rate']",10
0,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,"['love', 'come', 'took', 'long', 'leave', 'zaher', 'got', 'word', 'ym', 'happy', 'see', 'sad', 'left', 'miss']",14
0,"Yeah, we got one lined up for us","['yeah', 'got', 'one', 'lined', 'u']",5
0,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,"['really', 'skateboarding', 'despite', 'fact', 'get', 'thrown', 'wind', 'bandage', 'shit', 'arm', 'every', 'five', 'minute']",13
0,Ok can...,['ok'],1
0,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,"['mind', 'ask', 'happened', 'dont', 'say', 'uncomfortable']",6
0,And maybe some pressies,"['maybe', 'pressies']",2
0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)","['honeybee', 'said', 'sweetest', 'world', 'god', 'laughed', 'amp', 'said', 'wait', 'u', 'havnt', 'met', 'person', 'reading', 'msg', 'moral', 'even', 'god', 'crack', 'joke']",20
0,Got meh... When?,"['got', 'meh']",2
0,Otherwise had part time job na-tuition..,"['otherwise', 'part', 'time', 'job']",4
0,S:)but he had some luck.2 catches put down:),"['catch', 'put']",2
1,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,"['brand', 'new', 'mobile', 'music', 'service', 'live', 'free', 'music', 'player', 'arrive', 'shortly', 'install', 'phone', 'browse', 'content', 'top', 'artist']",17
0,"Sorry that took so long, omw now","['sorry', 'took', 'long', 'omw']",4
0,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,"['lol', 'grr', 'mom', 'taking', 'forever', 'prescription', 'pharmacy', 'like', 'minute', 'away', 'ugh']",11
0,Why de. You looking good only:-)..,"['de', 'looking', 'good']",3
0,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,"['thk', 'shd', 'ok', 'said', 'plus', 'minus', 'ü', 'leave', 'line', 'paragraph']",10
0,"Uncle G, just checking up on you. Do have a rewarding month","['uncle', 'g', 'checking', 'rewarding', 'month']",5
0,Nice.nice.how is it working?,['working'],1
0,"Good stuff, will do.","['good', 'stuff']",2
1,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,"['sport', 'fan', 'get', 'latest', 'sport', 'news', 'str', 'ur', 'mobile', 'wk', 'free', 'plus', 'free', 'tone', 'txt', 'sport', 'norm']",17
0,Thinkin about someone is all good. No drugs for that,"['thinkin', 'someone', 'good', 'drug']",4
0,Today am going to college so am not able to atten the class.,"['today', 'going', 'college', 'able', 'atten', 'class']",6
0,Badrith is only for chennai:)i will surely pick for us:)no competition for him.,"['badrith', 'chennai', 'surely', 'pick', 'u', 'competition']",6
0,"Haha yeah, 2 oz is kind of a shitload","['haha', 'yeah', 'oz', 'kind', 'shitload']",5
0,"It‘s reassuring, in this crazy world.","['reassuring', 'crazy', 'world']",3
0,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,"['maybe', 'say', 'hi', 'find', 'got', 'card', 'great', 'escape', 'wetherspoons']",9
0,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early","['gon', 'na', 'blake', 'night', 'might', 'able', 'get', 'little', 'early']",9
0,S:-)if we have one good partnership going we will take lead:),"['one', 'good', 'partnership', 'going', 'take', 'lead']",6
0,Oh just getting even with u.... u?,"['oh', 'getting', 'even', 'u', 'u']",5
0,Didn't you get hep b immunisation in nigeria.,"['get', 'hep', 'b', 'immunisation', 'nigeria']",5
0,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,"['watching', 'house', 'entertaining', 'getting', 'whole', 'hugh', 'laurie', 'thing', 'even', 'stick', 'indeed', 'especially', 'stick']",13
0,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck","['imagine', 'finally', 'get', 'sink', 'bath', 'put', 'pace', 'maybe', 'even', 'eat', 'left', 'also', 'imagine', 'feel', 'cage', 'cock', 'surrounded', 'bath', 'water', 'reminding', 'always', 'owns', 'enjoy', 'cuck']",24
1,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,"['ur', 'currently', 'pound', 'maximize', 'ur', 'send', 'cash', 'cc', 'po', 'box']",10
0,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),"['nice', 'line', 'said', 'broken', 'plz', 'cum', 'time', 'infront', 'wise', 'trust', 'u', 'good']",12
0,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,"['sorry', 'never', 'hear', 'unless', 'book', 'one', 'kinda', 'joke', 'thet', 'really', 'looking', 'skinny', 'white', 'girl', 'one', 'line', 'much', 'camera', 'something', 'like', 'casting', 'look']",22
0,"Sorry, I'll call later","['sorry', 'call', 'later']",3
0,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details","['dear', 'know', 'lt', 'gt', 'th', 'lt', 'gt', 'th', 'birthday', 'loving', 'gopalettan', 'planning', 'give', 'small', 'gift', 'day', 'like', 'participate', 'welcome', 'please', 'contact', 'admin', 'team', 'detail']",24
0,Wewa is 130. Iriver 255. All 128 mb.,"['wewa', 'iriver', 'mb']",3
0,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,"['lt', 'gt', 'ish', 'minute', 'minute', 'ago', 'wtf']",7
0,What should i eat fo lunch senor,"['eat', 'fo', 'lunch', 'senor']",4
0,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,"['dunno', 'lei', 'ü', 'decide', 'lor', 'abt', 'leona', 'oops', 'tot', 'ben', 'going', 'n', 'msg']",13
0,Prakesh is there know.,"['prakesh', 'know']",2
0,How much it will cost approx . Per month.,"['much', 'cost', 'approx', 'per', 'month']",5
1,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com","['free', 'message', 'activate', 'free', 'text', 'message', 'replying', 'message', 'word', 'free', 'term', 'condition', 'visit']",13
0,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,"['hi', 'yijue', 'regarding', 'textbook', 'intro', 'algorithm', 'second', 'edition', 'selling']",9
0,No problem baby. Is this is a good time to talk? I called and left a message.,"['problem', 'baby', 'good', 'time', 'talk', 'called', 'left', 'message']",8
0,So what do you guys do.,['guy'],1
0,What time you think you'll have it? Need to know when I should be near campus,"['time', 'think', 'need', 'know', 'near', 'campus']",6
0,Ok that's great thanx a lot.,"['ok', 'great', 'thanx', 'lot']",4
0,Where can download clear movies. Dvd copies.,"['download', 'clear', 'movie', 'dvd', 'copy']",5
0,Thanks for understanding. I've been trying to tell sura that.,"['thanks', 'understanding', 'trying', 'tell', 'sura']",5
1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'c', 'lccltd', 'pobox']",12
0,"Maybe westshore or hyde park village, the place near my house?","['maybe', 'westshore', 'hyde', 'park', 'village', 'place', 'near', 'house']",8
1,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,"['dear', 'voucher', 'holder', 'next', 'meal', 'u', 'use', 'following', 'link', 'pc', 'enjoy', 'dining', 'experiencehttp']",13
0,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,"['handle', 'victoria', 'island', 'traffic', 'plus', 'album', 'due']",7
0,Even if he my friend he is a priest call him now,"['even', 'friend', 'priest', 'call']",4
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,"['customer', 'service', 'annoncement', 'new', 'year', 'delivery', 'waiting', 'please', 'call', 'arrange', 'delivery']",11
0,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,"['thanx', 'u', 'r', 'goodmate', 'think', 'ur', 'rite', 'sary', 'asusual', 'u', 'cheered', 'love', 'u', 'franyxxxxx']",14
0,K.k:)advance happy pongal.,"['advance', 'happy', 'pongal']",3
0,Huh so fast... Dat means u havent finished painting?,"['huh', 'fast', 'dat', 'mean', 'u', 'havent', 'finished', 'painting']",8
0,Then i buy.,['buy'],1
0,The battery is for mr adewale my uncle. Aka Egbon,"['battery', 'mr', 'adewale', 'uncle', 'aka', 'egbon']",6
0,Watching telugu movie..wat abt u?,"['watching', 'telugu', 'movie', 'wat', 'abt', 'u']",6
0," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ","['said', 'kiss', 'kiss', 'ca', 'sound', 'effect', 'gorgeous', 'man', 'kind', 'person', 'need', 'smile', 'brighten', 'day']",14
0,Yes when is the appt again?,"['yes', 'appt']",2
0,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,"['yar', 'wanted', 'scold', 'u', 'yest', 'late', 'already', 'got', 'zhong', 'se', 'qing', 'u', 'ask', 'ask', 'go', 'w', 'u', 'lor', 'n', 'u', 'still', 'act', 'real']",23
0,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,"['ok', 'wont', 'call', 'disturb', 'one', 'know', 'avoiding', 'burden']",8
0,Watching ajith film ah?,"['watching', 'ajith', 'film', 'ah']",4
1,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X","['today', 'offer', 'claim', 'ur', 'worth', 'discount', 'voucher', 'text', 'yes', 'savamob', 'member', 'offer', 'mobile', 'c', 'sub', 'unsub', 'reply', 'x']",18
0,Watching tv now. I got new job :),"['watching', 'tv', 'got', 'new', 'job']",5
1,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,"['heard', 'call', 'rude', 'chat', 'private', 'line', 'cum', 'wan', 'pic', 'gettin', 'shagged', 'text', 'pix', 'send', 'stop', 'sam', 'xxx']",17
0,That one week leave i put know that time. Why.,"['one', 'week', 'leave', 'put', 'know', 'time']",6
0,I borrow ur bag ok.,"['borrow', 'ur', 'bag', 'ok']",4
0,"If e timing can, then i go w u lor...","['e', 'timing', 'go', 'w', 'u', 'lor']",6
0,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!","['sad', 'story', 'man', 'last', 'week', 'wife', 'wish', 'parent', 'forgot', 'n', 'kid', 'went', 'work', 'even', 'colleague', 'wish', 'entered', 'cabin', 'pa', 'said', 'happy', 'bos', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went', 'said', 'u', 'mind', 'go', 'bedroom', 'minute', 'ok', 'sed', 'sexy', 'mood', 'came', 'minuts', 'latr', 'wid', 'cake', 'n', 'wife', 'parent', 'kidz', 'friend', 'n', 'colleague', 'screaming', 'surprise', 'waiting', 'sofa', 'naked']",57
0,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.,"['meeting', 'ü', 'rite', 'go', 'home', 'lor', 'ü', 'dun', 'feel', 'like', 'comin', 'ok']",12
0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,"['love', 'excited', 'day', 'spend', 'make', 'happy']",6
0,Shb b ok lor... Thanx...,"['shb', 'b', 'ok', 'lor', 'thanx']",5
0,Do you want bold 2 or bb torch,"['want', 'bold', 'bb', 'torch']",4
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"['private', 'account', 'statement', 'show', 'unredeemed', 'bonus', 'point', 'claim', 'call', 'identifier', 'code', 'expires']",12
0,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,"['also', 'sorta', 'blown', 'couple', 'time', 'recently', 'id', 'rather', 'text', 'blue', 'looking', 'weed']",12
0,Anything...,['anything'],1
0,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,"['hello', 'boytoy', 'geeee', 'missing', 'today', 'like', 'send', 'tm', 'remind', 'thinking', 'loved', 'loving', 'kiss']",13
0,Oh Howda gud gud.. Mathe en samachara chikku:-),"['oh', 'howda', 'gud', 'gud', 'mathe', 'en', 'samachara', 'chikku']",8
0,R u meeting da ge at nite tmr?,"['r', 'u', 'meeting', 'da', 'ge', 'nite', 'tmr']",7
0,Dear got bus directly to calicut,"['dear', 'got', 'bus', 'directly', 'calicut']",5
0,Ok. C u then.,"['c', 'u']",2
0,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),"['training', 'manual', 'show', 'tech', 'process', 'password', 'reset', 'troubleshooting']",8
1,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,"['dear', 'u', 'invited', 'xchat', 'final', 'attempt', 'contact', 'u', 'txt', 'chat']",10
1,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,"['polyphonic', 'tone', 'ur', 'mob', 'every', 'week', 'txt', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friend', 'reply', 'hl']",16
1,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,"['guess', 'first', 'time', 'created', 'web', 'page', 'read', 'wrote', 'waiting', 'opinion', 'want', 'friend']",12
0,Gud mrng dear hav a nice day,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']",6
0,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea","['love', 'brother', 'time', 'talk', 'english', 'grin', 'say', 'hey', 'muhommad', 'penny', 'say', 'hello', 'across', 'sea']",14
0,"Oh... Icic... K lor, den meet other day...","['oh', 'icic', 'k', 'lor', 'den', 'meet', 'day']",7
0,Smith waste da.i wanna gayle.,"['smith', 'waste', 'wan', 'na', 'gayle']",5
0,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade","['case', 'wake', 'wondering', 'forgot', 'take', 'care', 'something', 'grandma', 'today', 'done', 'parade']",11
0,"No my blankets are sufficient, thx","['blanket', 'sufficient', 'thx']",3
0,Oh k k:)but he is not a big hitter.anyway good,"['oh', 'k', 'k', 'big', 'good']",5
0,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,"['kindly', 'send', 'one', 'flat', 'lt', 'decimal', 'gt', 'today']",8
0,Dont gimme that lip caveboy,"['dont', 'gim', 'lip', 'caveboy']",4
0,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe","['lay', 'man', 'let', 'know', 'missed', 'thought', 'great', 'day', 'send', 'bimbo', 'ugo', 'number', 'ill', 'appreciate', 'safe']",15
0,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,"['running', 'managed', 'minute', 'needed', 'oxygen', 'might', 'resort', 'roller', 'option']",9
0,Anything lor if they all go then i go lor...,"['anything', 'lor', 'go', 'go', 'lor']",5
0,I was slept that time.you there?,['slept'],1
0,Just nw i came to hme da..,"['nw', 'came', 'hme', 'da']",4
0,Hey! There's veggie pizza... :/,"['hey', 'veggie', 'pizza']",3
0,Hey you told your name to gautham ah?,"['hey', 'told', 'name', 'gautham', 'ah']",5
0,Jesus armand really is trying to tell everybody he can find,"['jesus', 'armand', 'really', 'trying', 'tell', 'everybody', 'find']",7
